category,value,observation_type,month,date
47.64 sports shops,82.7,Constant prices,2018M11,2018-11-01
47.71 clothing stores,107.5,Constant prices,2018M11,2018-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",107.8,Constant prices,2018M11,2018-11-01
47.11+47.2 retail sale with mostly food,,Constant prices,2018M12,2018-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.6,Constant prices,2018M12,2018-12-01
47.64 sports shops,106.4,Constant prices,2018M12,2018-12-01
47.71 clothing stores,139.7,Constant prices,2018M12,2018-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",160.5,Constant prices,2018M12,2018-12-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M01,2019-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,92.1,Constant prices,2019M01,2019-01-01
47.64 sports shops,70.4,Constant prices,2019M01,2019-01-01
47.71 clothing stores,101.4,Constant prices,2019M01,2019-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",83.7,Constant prices,2019M01,2019-01-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M02,2019-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,82.2,Constant prices,2019M02,2019-02-01
47.64 sports shops,63.5,Constant prices,2019M02,2019-02-01
47.71 clothing stores,87.9,Constant prices,2019M02,2019-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",74.6,Constant prices,2019M02,2019-02-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M03,2019-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,98.1,Constant prices,2019M03,2019-03-01
47.64 sports shops,79.0,Constant prices,2019M03,2019-03-01
47.71 clothing stores,103.9,Constant prices,2019M03,2019-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",94.5,Constant prices,2019M03,2019-03-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M04,2019-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,93.1,Constant prices,2019M04,2019-04-01
47.64 sports shops,97.9,Constant prices,2019M04,2019-04-01
47.71 clothing stores,108.9,Constant prices,2019M04,2019-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.4,Constant prices,2019M04,2019-04-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M05,2019-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,94.7,Constant prices,2019M05,2019-05-01
47.64 sports shops,99.9,Constant prices,2019M05,2019-05-01
