category,value,observation_type,month,date
47.71 clothing stores,-1.8,"Yearly development in percent, working day adjusted, constant prices",2020M02,2020-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",6.8,"Yearly development in percent, working day adjusted, constant prices",2020M02,2020-02-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M03,2020-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-5.1,"Yearly development in percent, working day adjusted, constant prices",2020M03,2020-03-01
47.64 sports shops,-1.0,"Yearly development in percent, working day adjusted, constant prices",2020M03,2020-03-01
47.71 clothing stores,-33.4,"Yearly development in percent, working day adjusted, constant prices",2020M03,2020-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-17.4,"Yearly development in percent, working day adjusted, constant prices",2020M03,2020-03-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M04,2020-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-2.2,"Yearly development in percent, working day adjusted, constant prices",2020M04,2020-04-01
47.64 sports shops,0.6,"Yearly development in percent, working day adjusted, constant prices",2020M04,2020-04-01
47.71 clothing stores,-36.6,"Yearly development in percent, working day adjusted, constant prices",2020M04,2020-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-12.3,"Yearly development in percent, working day adjusted, constant prices",2020M04,2020-04-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M05,2020-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,4.1,"Yearly development in percent, working day adjusted, constant prices",2020M05,2020-05-01
47.64 sports shops,16.5,"Yearly development in percent, working day adjusted, constant prices",2020M05,2020-05-01
47.71 clothing stores,-29.5,"Yearly development in percent, working day adjusted, constant prices",2020M05,2020-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-8.4,"Yearly development in percent, working day adjusted, constant prices",2020M05,2020-05-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M06,2020-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,8.9,"Yearly development in percent, working day adjusted, constant prices",2020M06,2020-06-01
47.64 sports shops,19.8,"Yearly development in percent, working day adjusted, constant prices",2020M06,2020-06-01
47.71 clothing stores,-21.6,"Yearly development in percent, working day adjusted, constant prices",2020M06,2020-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-1.6,"Yearly development in percent, working day adjusted, constant prices",2020M06,2020-06-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M07,2020-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,2.4,"Yearly development in percent, working day adjusted, constant prices",2020M07,2020-07-01
47.64 sports shops,11.0,"Yearly development in percent, working day adjusted, constant prices",2020M07,2020-07-01
47.71 clothing stores,-22.2,"Yearly development in percent, working day adjusted, constant prices",2020M07,2020-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",0.9,"Yearly development in percent, working day adjusted, constant prices",2020M07,2020-07-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M08,2020-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-11.1,"Yearly development in percent, working day adjusted, constant prices",2020M08,2020-08-01
47.64 sports shops,3.3,"Yearly development in percent, working day adjusted, constant prices",2020M08,2020-08-01
47.71 clothing stores,-19.2,"Yearly development in percent, working day adjusted, constant prices",2020M08,2020-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-3.0,"Yearly development in percent, working day adjusted, constant prices",2020M08,2020-08-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M09,2020-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,6.1,"Yearly development in percent, working day adjusted, constant prices",2020M09,2020-09-01
47.64 sports shops,1.4,"Yearly development in percent, working day adjusted, constant prices",2020M09,2020-09-01
47.71 clothing stores,-13.5,"Yearly development in percent, working day adjusted, constant prices",2020M09,2020-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-2.6,"Yearly development in percent, working day adjusted, constant prices",2020M09,2020-09-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M10,2020-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,3.2,"Yearly development in percent, working day adjusted, constant prices",2020M10,2020-10-01
47.64 sports shops,2.7,"Yearly development in percent, working day adjusted, constant prices",2020M10,2020-10-01
47.71 clothing stores,-13.3,"Yearly development in percent, working day adjusted, constant prices",2020M10,2020-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-0.4,"Yearly development in percent, working day adjusted, constant prices",2020M10,2020-10-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M11,2020-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-3.6,"Yearly development in percent, working day adjusted, constant prices",2020M11,2020-11-01
47.64 sports shops,9.0,"Yearly development in percent, working day adjusted, constant prices",2020M11,2020-11-01
47.71 clothing stores,-24.6,"Yearly development in percent, working day adjusted, constant prices",2020M11,2020-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",1.3,"Yearly development in percent, working day adjusted, constant prices",2020M11,2020-11-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2020M12,2020-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-2.2,"Yearly development in percent, working day adjusted, constant prices",2020M12,2020-12-01
47.64 sports shops,-6.2,"Yearly development in percent, working day adjusted, constant prices",2020M12,2020-12-01
47.71 clothing stores,-30.0,"Yearly development in percent, working day adjusted, constant prices",2020M12,2020-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-18.4,"Yearly development in percent, working day adjusted, constant prices",2020M12,2020-12-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M01,2021-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-6.7,"Yearly development in percent, working day adjusted, constant prices",2021M01,2021-01-01
47.64 sports shops,25.0,"Yearly development in percent, working day adjusted, constant prices",2021M01,2021-01-01
47.71 clothing stores,-28.8,"Yearly development in percent, working day adjusted, constant prices",2021M01,2021-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-5.4,"Yearly development in percent, working day adjusted, constant prices",2021M01,2021-01-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M02,2021-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,1.6,"Yearly development in percent, working day adjusted, constant prices",2021M02,2021-02-01
47.64 sports shops,7.7,"Yearly development in percent, working day adjusted, constant prices",2021M02,2021-02-01
47.71 clothing stores,-20.7,"Yearly development in percent, working day adjusted, constant prices",2021M02,2021-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",2.6,"Yearly development in percent, working day adjusted, constant prices",2021M02,2021-02-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M03,2021-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,16.8,"Yearly development in percent, working day adjusted, constant prices",2021M03,2021-03-01
47.64 sports shops,21.8,"Yearly development in percent, working day adjusted, constant prices",2021M03,2021-03-01
47.71 clothing stores,19.7,"Yearly development in percent, working day adjusted, constant prices",2021M03,2021-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",9.5,"Yearly development in percent, working day adjusted, constant prices",2021M03,2021-03-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M04,2021-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,14.9,"Yearly development in percent, working day adjusted, constant prices",2021M04,2021-04-01
47.64 sports shops,5.4,"Yearly development in percent, working day adjusted, constant prices",2021M04,2021-04-01
47.71 clothing stores,18.1,"Yearly development in percent, working day adjusted, constant prices",2021M04,2021-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",4.2,"Yearly development in percent, working day adjusted, constant prices",2021M04,2021-04-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M05,2021-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,9.1,"Yearly development in percent, working day adjusted, constant prices",2021M05,2021-05-01
47.64 sports shops,5.2,"Yearly development in percent, working day adjusted, constant prices",2021M05,2021-05-01
47.71 clothing stores,21.0,"Yearly development in percent, working day adjusted, constant prices",2021M05,2021-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",12.8,"Yearly development in percent, working day adjusted, constant prices",2021M05,2021-05-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M06,2021-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,0.0,"Yearly development in percent, working day adjusted, constant prices",2021M06,2021-06-01
47.64 sports shops,-4.3,"Yearly development in percent, working day adjusted, constant prices",2021M06,2021-06-01
47.71 clothing stores,19.5,"Yearly development in percent, working day adjusted, constant prices",2021M06,2021-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",5.9,"Yearly development in percent, working day adjusted, constant prices",2021M06,2021-06-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M07,2021-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-3.0,"Yearly development in percent, working day adjusted, constant prices",2021M07,2021-07-01
47.64 sports shops,-3.3,"Yearly development in percent, working day adjusted, constant prices",2021M07,2021-07-01
47.71 clothing stores,15.5,"Yearly development in percent, working day adjusted, constant prices",2021M07,2021-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",16.1,"Yearly development in percent, working day adjusted, constant prices",2021M07,2021-07-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M08,2021-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,6.5,"Yearly development in percent, working day adjusted, constant prices",2021M08,2021-08-01
47.64 sports shops,2.4,"Yearly development in percent, working day adjusted, constant prices",2021M08,2021-08-01
47.71 clothing stores,13.2,"Yearly development in percent, working day adjusted, constant prices",2021M08,2021-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",9.1,"Yearly development in percent, working day adjusted, constant prices",2021M08,2021-08-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M09,2021-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-4.5,"Yearly development in percent, working day adjusted, constant prices",2021M09,2021-09-01
47.64 sports shops,-4.4,"Yearly development in percent, working day adjusted, constant prices",2021M09,2021-09-01
47.71 clothing stores,-2.3,"Yearly development in percent, working day adjusted, constant prices",2021M09,2021-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",9.4,"Yearly development in percent, working day adjusted, constant prices",2021M09,2021-09-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M10,2021-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-5.1,"Yearly development in percent, working day adjusted, constant prices",2021M10,2021-10-01
47.64 sports shops,-2.6,"Yearly development in percent, working day adjusted, constant prices",2021M10,2021-10-01
47.71 clothing stores,7.2,"Yearly development in percent, working day adjusted, constant prices",2021M10,2021-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",23.5,"Yearly development in percent, working day adjusted, constant prices",2021M10,2021-10-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M11,2021-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,3.0,"Yearly development in percent, working day adjusted, constant prices",2021M11,2021-11-01
47.64 sports shops,11.7,"Yearly development in percent, working day adjusted, constant prices",2021M11,2021-11-01
47.71 clothing stores,33.7,"Yearly development in percent, working day adjusted, constant prices",2021M11,2021-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",21.1,"Yearly development in percent, working day adjusted, constant prices",2021M11,2021-11-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2021M12,2021-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-0.3,"Yearly development in percent, working day adjusted, constant prices",2021M12,2021-12-01
47.64 sports shops,17.2,"Yearly development in percent, working day adjusted, constant prices",2021M12,2021-12-01
47.71 clothing stores,24.0,"Yearly development in percent, working day adjusted, constant prices",2021M12,2021-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",16.5,"Yearly development in percent, working day adjusted, constant prices",2021M12,2021-12-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M01,2022-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-0.9,"Yearly development in percent, working day adjusted, constant prices",2022M01,2022-01-01
47.64 sports shops,-17.0,"Yearly development in percent, working day adjusted, constant prices",2022M01,2022-01-01
47.71 clothing stores,-1.8,"Yearly development in percent, working day adjusted, constant prices",2022M01,2022-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",13.8,"Yearly development in percent, working day adjusted, constant prices",2022M01,2022-01-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M02,2022-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-8.9,"Yearly development in percent, working day adjusted, constant prices",2022M02,2022-02-01
47.64 sports shops,-9.0,"Yearly development in percent, working day adjusted, constant prices",2022M02,2022-02-01
47.71 clothing stores,14.3,"Yearly development in percent, working day adjusted, constant prices",2022M02,2022-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",6.6,"Yearly development in percent, working day adjusted, constant prices",2022M02,2022-02-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M03,2022-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-12.1,"Yearly development in percent, working day adjusted, constant prices",2022M03,2022-03-01
47.64 sports shops,-4.0,"Yearly development in percent, working day adjusted, constant prices",2022M03,2022-03-01
47.71 clothing stores,14.9,"Yearly development in percent, working day adjusted, constant prices",2022M03,2022-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",8.9,"Yearly development in percent, working day adjusted, constant prices",2022M03,2022-03-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M04,2022-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-12.5,"Yearly development in percent, working day adjusted, constant prices",2022M04,2022-04-01
47.64 sports shops,-7.1,"Yearly development in percent, working day adjusted, constant prices",2022M04,2022-04-01
47.71 clothing stores,36.3,"Yearly development in percent, working day adjusted, constant prices",2022M04,2022-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",21.1,"Yearly development in percent, working day adjusted, constant prices",2022M04,2022-04-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M05,2022-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-14.2,"Yearly development in percent, working day adjusted, constant prices",2022M05,2022-05-01
47.64 sports shops,-9.7,"Yearly development in percent, working day adjusted, constant prices",2022M05,2022-05-01
47.71 clothing stores,20.3,"Yearly development in percent, working day adjusted, constant prices",2022M05,2022-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",17.1,"Yearly development in percent, working day adjusted, constant prices",2022M05,2022-05-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M06,2022-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-13.8,"Yearly development in percent, working day adjusted, constant prices",2022M06,2022-06-01
47.64 sports shops,-10.2,"Yearly development in percent, working day adjusted, constant prices",2022M06,2022-06-01
47.71 clothing stores,1.5,"Yearly development in percent, working day adjusted, constant prices",2022M06,2022-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",8.4,"Yearly development in percent, working day adjusted, constant prices",2022M06,2022-06-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M07,2022-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-14.2,"Yearly development in percent, working day adjusted, constant prices",2022M07,2022-07-01
47.64 sports shops,-8.8,"Yearly development in percent, working day adjusted, constant prices",2022M07,2022-07-01
47.71 clothing stores,-1.5,"Yearly development in percent, working day adjusted, constant prices",2022M07,2022-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-5.4,"Yearly development in percent, working day adjusted, constant prices",2022M07,2022-07-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M08,2022-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-13.9,"Yearly development in percent, working day adjusted, constant prices",2022M08,2022-08-01
47.64 sports shops,-10.6,"Yearly development in percent, working day adjusted, constant prices",2022M08,2022-08-01
47.71 clothing stores,-4.2,"Yearly development in percent, working day adjusted, constant prices",2022M08,2022-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",0.3,"Yearly development in percent, working day adjusted, constant prices",2022M08,2022-08-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M09,2022-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-12.7,"Yearly development in percent, working day adjusted, constant prices",2022M09,2022-09-01
47.64 sports shops,-6.5,"Yearly development in percent, working day adjusted, constant prices",2022M09,2022-09-01
47.71 clothing stores,9.0,"Yearly development in percent, working day adjusted, constant prices",2022M09,2022-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-5.5,"Yearly development in percent, working day adjusted, constant prices",2022M09,2022-09-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M10,2022-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-17.0,"Yearly development in percent, working day adjusted, constant prices",2022M10,2022-10-01
47.64 sports shops,-12.6,"Yearly development in percent, working day adjusted, constant prices",2022M10,2022-10-01
47.71 clothing stores,2.2,"Yearly development in percent, working day adjusted, constant prices",2022M10,2022-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-14.8,"Yearly development in percent, working day adjusted, constant prices",2022M10,2022-10-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M11,2022-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-20.0,"Yearly development in percent, working day adjusted, constant prices",2022M11,2022-11-01
47.64 sports shops,-10.0,"Yearly development in percent, working day adjusted, constant prices",2022M11,2022-11-01
47.71 clothing stores,3.9,"Yearly development in percent, working day adjusted, constant prices",2022M11,2022-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-7.7,"Yearly development in percent, working day adjusted, constant prices",2022M11,2022-11-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2022M12,2022-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-17.0,"Yearly development in percent, working day adjusted, constant prices",2022M12,2022-12-01
47.64 sports shops,-14.1,"Yearly development in percent, working day adjusted, constant prices",2022M12,2022-12-01
47.71 clothing stores,5.9,"Yearly development in percent, working day adjusted, constant prices",2022M12,2022-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-7.9,"Yearly development in percent, working day adjusted, constant prices",2022M12,2022-12-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M01,2023-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-18.2,"Yearly development in percent, working day adjusted, constant prices",2023M01,2023-01-01
47.64 sports shops,-5.0,"Yearly development in percent, working day adjusted, constant prices",2023M01,2023-01-01
47.71 clothing stores,28.9,"Yearly development in percent, working day adjusted, constant prices",2023M01,2023-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",9.0,"Yearly development in percent, working day adjusted, constant prices",2023M01,2023-01-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M02,2023-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-20.5,"Yearly development in percent, working day adjusted, constant prices",2023M02,2023-02-01
47.64 sports shops,-11.4,"Yearly development in percent, working day adjusted, constant prices",2023M02,2023-02-01
47.71 clothing stores,5.0,"Yearly development in percent, working day adjusted, constant prices",2023M02,2023-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-14.2,"Yearly development in percent, working day adjusted, constant prices",2023M02,2023-02-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M03,2023-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-20.5,"Yearly development in percent, working day adjusted, constant prices",2023M03,2023-03-01
47.64 sports shops,-18.1,"Yearly development in percent, working day adjusted, constant prices",2023M03,2023-03-01
47.71 clothing stores,-0.9,"Yearly development in percent, working day adjusted, constant prices",2023M03,2023-03-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",10.9,"Yearly development in percent, working day adjusted, constant prices",2023M03,2023-03-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M04,2023-04-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-19.7,"Yearly development in percent, working day adjusted, constant prices",2023M04,2023-04-01
47.64 sports shops,-6.1,"Yearly development in percent, working day adjusted, constant prices",2023M04,2023-04-01
47.71 clothing stores,-9.6,"Yearly development in percent, working day adjusted, constant prices",2023M04,2023-04-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",4.7,"Yearly development in percent, working day adjusted, constant prices",2023M04,2023-04-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M05,2023-05-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-18.6,"Yearly development in percent, working day adjusted, constant prices",2023M05,2023-05-01
47.64 sports shops,-5.7,"Yearly development in percent, working day adjusted, constant prices",2023M05,2023-05-01
47.71 clothing stores,-5.9,"Yearly development in percent, working day adjusted, constant prices",2023M05,2023-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",-3.5,"Yearly development in percent, working day adjusted, constant prices",2023M05,2023-05-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M06,2023-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-16.0,"Yearly development in percent, working day adjusted, constant prices",2023M06,2023-06-01
47.64 sports shops,-7.7,"Yearly development in percent, working day adjusted, constant prices",2023M06,2023-06-01
47.71 clothing stores,-2.4,"Yearly development in percent, working day adjusted, constant prices",2023M06,2023-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",16.0,"Yearly development in percent, working day adjusted, constant prices",2023M06,2023-06-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M07,2023-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-8.4,"Yearly development in percent, working day adjusted, constant prices",2023M07,2023-07-01
47.64 sports shops,-4.0,"Yearly development in percent, working day adjusted, constant prices",2023M07,2023-07-01
47.71 clothing stores,-4.3,"Yearly development in percent, working day adjusted, constant prices",2023M07,2023-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",12.6,"Yearly development in percent, working day adjusted, constant prices",2023M07,2023-07-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M08,2023-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-7.4,"Yearly development in percent, working day adjusted, constant prices",2023M08,2023-08-01
47.64 sports shops,-9.5,"Yearly development in percent, working day adjusted, constant prices",2023M08,2023-08-01
47.71 clothing stores,0.5,"Yearly development in percent, working day adjusted, constant prices",2023M08,2023-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",11.9,"Yearly development in percent, working day adjusted, constant prices",2023M08,2023-08-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M09,2023-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-19.6,"Yearly development in percent, working day adjusted, constant prices",2023M09,2023-09-01
47.64 sports shops,-4.5,"Yearly development in percent, working day adjusted, constant prices",2023M09,2023-09-01
47.71 clothing stores,-13.6,"Yearly development in percent, working day adjusted, constant prices",2023M09,2023-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",0.6,"Yearly development in percent, working day adjusted, constant prices",2023M09,2023-09-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M10,2023-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-11.3,"Yearly development in percent, working day adjusted, constant prices",2023M10,2023-10-01
47.64 sports shops,2.8,"Yearly development in percent, working day adjusted, constant prices",2023M10,2023-10-01
47.71 clothing stores,-8.0,"Yearly development in percent, working day adjusted, constant prices",2023M10,2023-10-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",5.9,"Yearly development in percent, working day adjusted, constant prices",2023M10,2023-10-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M11,2023-11-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-9.4,"Yearly development in percent, working day adjusted, constant prices",2023M11,2023-11-01
47.64 sports shops,-0.2,"Yearly development in percent, working day adjusted, constant prices",2023M11,2023-11-01
47.71 clothing stores,-7.7,"Yearly development in percent, working day adjusted, constant prices",2023M11,2023-11-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",12.4,"Yearly development in percent, working day adjusted, constant prices",2023M11,2023-11-01
47.11+47.2 retail sale with mostly food,,"Yearly development in percent, working day adjusted, constant prices",2023M12,2023-12-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-11.1,"Yearly development in percent, working day adjusted, constant prices",2023M12,2023-12-01
47.64 sports shops,-8.6,"Yearly development in percent, working day adjusted, constant prices",2023M12,2023-12-01
47.71 clothing stores,-10.3,"Yearly development in percent, working day adjusted, constant prices",2023M12,2023-12-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",26.4,"Yearly development in percent, working day adjusted, constant prices",2023M12,2023-12-01
47.11+47.2 retail sale with mostly food,0.6,"Yearly development in percent, working day adjusted, constant prices",2024M01,2024-01-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-10.0,"Yearly development in percent, working day adjusted, constant prices",2024M01,2024-01-01
47.64 sports shops,-9.5,"Yearly development in percent, working day adjusted, constant prices",2024M01,2024-01-01
47.71 clothing stores,-9.5,"Yearly development in percent, working day adjusted, constant prices",2024M01,2024-01-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",16.8,"Yearly development in percent, working day adjusted, constant prices",2024M01,2024-01-01
47.11+47.2 retail sale with mostly food,2.2,"Yearly development in percent, working day adjusted, constant prices",2024M02,2024-02-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-8.7,"Yearly development in percent, working day adjusted, constant prices",2024M02,2024-02-01
47.64 sports shops,-6.9,"Yearly development in percent, working day adjusted, constant prices",2024M02,2024-02-01
47.71 clothing stores,-10.5,"Yearly development in percent, working day adjusted, constant prices",2024M02,2024-02-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",37.6,"Yearly development in percent, working day adjusted, constant prices",2024M02,2024-02-01
47.11+47.2 retail sale with mostly food,1.8,"Yearly development in percent, working day adjusted, constant prices",2024M03,2024-03-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,-8.9,"Yearly development in percent, working day adjusted, constant prices",2024M03,2024-03-01
